hello, world
coordinates: 48 64
coordinates: 64 64
coordinates: 80 64
coordinates: 96 64
coordinates: 112 64
coordinates: 128 64
coordinates: 144 64
coordinates: 160 64
coordinates: 176 64
coordinates: 192 64
coordinates: 208 64
coordinates: 224 64
coordinates: 0 80
coordinates: 16 80
coordinates: 32 80
coordinates: 48 80
coordinates: 64 80
coordinates: 80 80
coordinates: 96 80
coordinates: 112 80
coordinates: 128 80
coordinates: 144 80
coordinates: 160 80
coordinates: 176 80
coordinates: 192 80
coordinates: 208 80
coordinates: 224 80
coordinates: 0 96
coordinates: 16 96
coordinates: 32 96
coordinates: 48 96
coordinates: 64 96
coordinates: 80 96
coordinates: 96 96
coordinates: 112 96
coordinates: 128 96
coordinates: 144 96
coordinates: 160 96
coordinates: 176 96
coordinates: 192 96
coordinates: 208 96
coordinates: 224 96
coordinates: 0 112
coordinates: 16 112
coordinates: 32 112
coordinates: 48 112
coordinates: 64 112
coordinates: 80 112
coordinates: 96 112
coordinates: 112 112
coordinates: 128 112
coordinates: 144 112
coordinates: 160 112
coordinates: 176 112
coordinates: 192 112
coordinates: 208 112
coordinates: 224 112
coordinates: 0 128
coordinates: 16 128
coordinates: 32 128
coordinates: 48 128
coordinates: 64 128
coordinates: 80 128
coordinates: 96 128
coordinates: 112 128
coordinates: 128 128
coordinates: 144 128
coordinates: 160 128
coordinates: 176 128
coordinates: 192 128
coordinates: 208 128
coordinates: 224 128
coordinates: 0 144
coordinates: 16 144
coordinates: 32 144
coordinates: 48 144
coordinates: 64 144
coordinates: 80 144
coordinates: 96 144
coordinates: 112 144
coordinates: 128 144
coordinates: 144 144
coordinates: 160 144
coordinates: 176 144
coordinates: 192 144
coordinates: 208 144
coordinates: 224 144
coordinates: 0 160
coordinates: 16 160
coordinates: 32 160
coordinates: 48 160
coordinates: 64 160
coordinates: 80 160
coordinates: 96 160
coordinates: 112 160
coordinates: 128 160
coordinates: 144 160
coordinates: 160 160
coordinates: 176 160
coordinates: 192 160
coordinates: 208 160
coordinates: 224 160
coordinates: 0 176
coordinates: 16 176
coordinates: 32 176
coordinates: 48 176
coordinates: 64 176
coordinates: 80 176
coordinates: 96 176
coordinates: 112 176
coordinates: 128 176
coordinates: 144 176
coordinates: 160 176
coordinates: 176 176
coordinates: 192 176
coordinates: 208 176
coordinates: 224 176
coordinates: 0 192
coordinates: 16 192
coordinates: 32 192
coordinates: 48 192
coordinates: 64 192
coordinates: 80 192
coordinates: 96 192
coordinates: 112 192
coordinates: 128 192
coordinates: 144 192
coordinates: 160 192
coordinates: 176 192
coordinates: 192 192
coordinates: 208 192
coordinates: 224 192
coordinates: 0 208
coordinates: 16 208
coordinates: 32 208
coordinates: 48 208
coordinates: 64 208
coordinates: 80 208
coordinates: 96 208
coordinates: 112 208
coordinates: 128 208
coordinates: 144 208
coordinates: 160 208
coordinates: 176 208
coordinates: 192 208
coordinates: 208 208
coordinates: 224 208
coordinates: 0 224
coordinates: 16 224
coordinates: 32 224
coordinates: 48 224
coordinates: 64 224
coordinates: 80 224
coordinates: 96 224
coordinates: 112 224
coordinates: 128 224
coordinates: 144 224
coordinates: 160 224
coordinates: 176 224
coordinates: 192 224
coordinates: 208 224
coordinates: 224 224
coordinates: 0 240
coordinates: 16 240
coordinates: 32 240
coordinates: 48 240
coordinates: 64 240
coordinates: 80 240
coordinates: 96 240
coordinates: 112 240
coordinates: 128 240
coordinates: 144 240
coordinates: 160 240
coordinates: 176 240
coordinates: 192 240
coordinates: 208 240
coordinates: 224 240
coordinates: 0 256
coordinates: 16 256
coordinates: 32 256
coordinates: 48 256
coordinates: 64 256
coordinates: 80 256
coordinates: 96 256
coordinates: 112 256
coordinates: 128 256
coordinates: 144 256
coordinates: 160 256
coordinates: 176 256
coordinates: 192 256
coordinates: 208 256
coordinates: 224 256
coordinates: 0 272
coordinates: 0 0
coordinates: 16 0
coordinates: 32 0
coordinates: 48 0
coordinates: 64 0
coordinates: 80 0
coordinates: 96 0
coordinates: 112 0
coordinates: 128 0
coordinates: 144 0
coordinates: 160 0
coordinates: 176 0
coordinates: 192 0
coordinates: 208 0
coordinates: 224 0
coordinates: 0 16
coordinates: 16 16
coordinates: 32 16
coordinates: 48 16
coordinates: 64 16
coordinates: 80 16
coordinates: 96 16
coordinates: 112 16
coordinates: 128 16
coordinates: 144 16
coordinates: 160 16
coordinates: 176 16
coordinates: 192 16
coordinates: 208 16
coordinates: 224 16
coordinates: 0 32
coordinates: 16 32
coordinates: 32 32
coordinates: 48 32
coordinates: 64 32
coordinates: 80 32
coordinates: 96 32
coordinates: 112 32
coordinates: 128 32
coordinates: 144 32
coordinates: 160 32
coordinates: 176 32
coordinates: 192 32
coordinates: 208 32
coordinates: 224 32
coordinates: 0 48
coordinates: 16 48
coordinates: 32 48
coordinates: 48 48
coordinates: 64 48
coordinates: 80 48
coordinates: 96 48
coordinates: 112 48
coordinates: 128 48
coordinates: 144 48
coordinates: 160 48
coordinates: 176 48
coordinates: 192 48
coordinates: 208 48
coordinates: 224 48
coordinates: 0 64
coordinates: 16 64
coordinates: 32 64
coordinates: 48 64
coordinates: 64 64
coordinates: 80 64
coordinates: 96 64
coordinates: 112 64
coordinates: 128 64
coordinates: 144 64
coordinates: 160 64
coordinates: 176 64
coordinates: 192 64
coordinates: 208 64
coordinates: 224 64
coordinates: 0 80
coordinates: 16 80
coordinates: 32 80
coordinates: 48 80
coordinates: 64 80
coordinates: 80 80
coordinates: 96 80
coordinates: 112 80
coordinates: 128 80
coordinates: 144 80
coordinates: 160 80
coordinates: 176 80
coordinates: 192 80
coordinates: 208 80
coordinates: 224 80
coordinates: 0 96
coordinates: 16 96
coordinates: 32 96
coordinates: 48 96
coordinates: 64 96
coordinates: 80 96
coordinates: 96 96
coordinates: 112 96
coordinates: 128 96
coordinates: 144 96
coordinates: 160 96
coordinates: 176 96
coordinates: 192 96
coordinates: 208 96
coordinates: 224 96
coordinates: 0 112
coordinates: 16 112
coordinates: 32 112
coordinates: 48 112
coordinates: 64 112
coordinates: 80 112
coordinates: 96 112
coordinates: 112 112
coordinates: 128 112
coordinates: 144 112
coordinates: 160 112
coordinates: 176 112
coordinates: 192 112
coordinates: 208 112
coordinates: 224 112
coordinates: 0 128
coordinates: 16 128
coordinates: 32 128
coordinates: 48 128
coordinates: 64 128
coordinates: 80 128
coordinates: 96 128
coordinates: 112 128
coordinates: 128 128
coordinates: 144 128
coordinates: 160 128
coordinates: 176 128
coordinates: 192 128
coordinates: 208 128
coordinates: 224 128
coordinates: 0 144
coordinates: 16 144
coordinates: 32 144
coordinates: 48 144
coordinates: 64 144
coordinates: 80 144
coordinates: 96 144
coordinates: 112 144
coordinates: 128 144
coordinates: 144 144
coordinates: 160 144
coordinates: 176 144
coordinates: 192 144
coordinates: 208 144
coordinates: 224 144
coordinates: 0 160
coordinates: 16 160
coordinates: 32 160
coordinates: 48 160
coordinates: 64 160
coordinates: 80 160
coordinates: 96 160
coordinates: 112 160
coordinates: 128 160
coordinates: 144 160
coordinates: 160 160
coordinates: 176 160
coordinates: 192 160
coordinates: 208 160
coordinates: 224 160
coordinates: 0 176
coordinates: 16 176
coordinates: 32 176
coordinates: 48 176
coordinates: 64 176
coordinates: 80 176
coordinates: 96 176
coordinates: 112 176
coordinates: 128 176
coordinates: 144 176
coordinates: 160 176
coordinates: 176 176
coordinates: 192 176
coordinates: 208 176
coordinates: 224 176
coordinates: 0 192
coordinates: 16 192
coordinates: 32 192
coordinates: 48 192
coordinates: 64 192
coordinates: 80 192
coordinates: 96 192
coordinates: 112 192
coordinates: 128 192
coordinates: 144 192
coordinates: 160 192
coordinates: 176 192
coordinates: 192 192
coordinates: 208 192
coordinates: 224 192
coordinates: 0 208
coordinates: 16 208
coordinates: 32 208
coordinates: 48 208
coordinates: 64 208
coordinates: 80 208
coordinates: 96 208
coordinates: 112 208
coordinates: 128 208
coordinates: 144 208
coordinates: 160 208
coordinates: 176 208
coordinates: 192 208
coordinates: 208 208
coordinates: 224 208
coordinates: 0 224
coordinates: 16 224
coordinates: 32 224
coordinates: 48 224
coordinates: 64 224
coordinates: 80 224
coordinates: 96 224
coordinates: 112 224
coordinates: 128 224
coordinates: 144 224
coordinates: 160 224
coordinates: 176 224
coordinates: 192 224
coordinates: 208 224
coordinates: 224 224
coordinates: 0 240
coordinates: 16 240
coordinates: 32 240
coordinates: 48 240
coordinates: 64 240
coordinates: 80 240
coordinates: 96 240
coordinates: 112 240
coordinates: 128 240
coordinates: 144 240
coordinates: 160 240
coordinates: 176 240
coordinates: 192 240
coordinates: 208 240
coordinates: 224 240
coordinates: 0 256
coordinates: 16 256
coordinates: 32 256
coordinates: 48 256
coordinates: 64 256
coordinates: 80 256
coordinates: 96 256
coordinates: 112 256
coordinates: 128 256
coordinates: 144 256
coordinates: 160 256
coordinates: 176 256
coordinates: 192 256
coordinates: 208 256
coordinates: 224 256
coordinates: 0 272
coordinates: 0 0
coordinates: 16 0
coordinates: 32 0
coordinates: 48 0
coordinates: 64 0
coordinates: 80 0
coordinates: 96 0
coordinates: 112 0
coordinates: 128 0
coordinates: 144 0
coordinates: 160 0
coordinates: 176 0
coordinates: 192 0
coordinates: 208 0
coordinates: 224 0
coordinates: 0 16
coordinates: 16 16
coordinates: 32 16
coordinates: 48 16
coordinates: 64 16
coordinates: 80 16
coordinates: 96 16
coordinates: 112 16
coordinates: 128 16
coordinates: 144 16
coordinates: 160 16
coordinates: 176 16
coordinates: 192 16
coordinates: 208 16
coordinates: 224 16
coordinates: 0 32
coordinates: 16 32
coordinates: 32 32
coordinates: 48 32
coordinates: 64 32
coordinates: 80 32
coordinates: 96 32
coordinates: 112 32
coordinates: 128 32
coordinates: 144 32
coordinates: 160 32
coordinates: 176 32
coordinates: 192 32
coordinates: 208 32
coordinates: 224 32
coordinates: 0 48
coordinates: 16 48
coordinates: 32 48
coordinates: 48 48
coordinates: 64 48
coordinates: 80 48
coordinates: 96 48
coordinates: 112 48
coordinates: 128 48
coordinates: 144 48
coordinates: 160 48
coordinates: 176 48
coordinates: 192 48
coordinates: 208 48
coordinates: 224 48
coordinates: 0 64
coordinates: 16 64
coordinates: 32 64
coordinates: 48 64
coordinates: 64 64
coordinates: 80 64
coordinates: 96 64
coordinates: 112 64
coordinates: 128 64
coordinates: 144 64
coordinates: 160 64
coordinates: 176 64
coordinates: 192 64
coordinates: 208 64
coordinates: 224 64
coordinates: 0 80
coordinates: 16 80
coordinates: 32 80
coordinates: 48 80
coordinates: 64 80
coordinates: 80 80
coordinates: 96 80
coordinates: 112 80
coordinates: 128 80
coordinates: 144 80
coordinates: 160 80
coordinates: 176 80
coordinates: 192 80
coordinates: 208 80
coordinates: 224 80
coordinates: 0 96
coordinates: 16 96
coordinates: 32 96
coordinates: 48 96
coordinates: 64 96
coordinates: 80 96
coordinates: 96 96
coordinates: 112 96
coordinates: 128 96
coordinates: 144 96
coordinates: 160 96
coordinates: 176 96
coordinates: 192 96
coordinates: 208 96
coordinates: 224 96
coordinates: 0 112
coordinates: 16 112
coordinates: 32 112
coordinates: 48 112
coordinates: 64 112
coordinates: 80 112
coordinates: 96 112
coordinates: 112 112
coordinates: 128 112
coordinates: 144 112
coordinates: 160 112
coordinates: 176 112
coordinates: 192 112
coordinates: 208 112
coordinates: 224 112
coordinates: 0 128
coordinates: 16 128
coordinates: 32 128
coordinates: 48 128
coordinates: 64 128
coordinates: 80 128
coordinates: 96 128
coordinates: 112 128
coordinates: 128 128
coordinates: 144 128
coordinates: 160 128
coordinates: 176 128
coordinates: 192 128
coordinates: 208 128
coordinates: 224 128
coordinates: 0 144
coordinates: 16 144
coordinates: 32 144
coordinates: 48 144
coordinates: 64 144
coordinates: 80 144
coordinates: 96 144
coordinates: 112 144
coordinates: 128 144
coordinates: 144 144
coordinates: 160 144
coordinates: 176 144
coordinates: 192 144
coordinates: 208 144
coordinates: 224 144
coordinates: 0 160
coordinates: 16 160
coordinates: 32 160
coordinates: 48 160
coordinates: 64 160
coordinates: 80 160
coordinates: 96 160
coordinates: 112 160
coordinates: 128 160
coordinates: 144 160
coordinates: 160 160
coordinates: 176 160
coordinates: 192 160
coordinates: 208 160
coordinates: 224 160
coordinates: 0 176
coordinates: 16 176
coordinates: 32 176
coordinates: 48 176
coordinates: 64 176
coordinates: 80 176
coordinates: 96 176
coordinates: 112 176
coordinates: 128 176
coordinates: 144 176
coordinates: 160 176
coordinates: 176 176
coordinates: 192 176
coordinates: 208 176
coordinates: 224 176
coordinates: 0 192
coordinates: 16 192
coordinates: 32 192
coordinates: 48 192
coordinates: 64 192
coordinates: 80 192
coordinates: 96 192
coordinates: 112 192
coordinates: 128 192
coordinates: 144 192
coordinates: 160 192
coordinates: 176 192
coordinates: 192 192
coordinates: 208 192
coordinates: 224 192
coordinates: 0 208
coordinates: 16 208
coordinates: 32 208
coordinates: 48 208
coordinates: 64 208
coordinates: 80 208
coordinates: 96 208
coordinates: 112 208
coordinates: 128 208
coordinates: 144 208
coordinates: 160 208
coordinates: 176 208
coordinates: 192 208
coordinates: 208 208
coordinates: 224 208
coordinates: 0 224
coordinates: 16 224
coordinates: 32 224
coordinates: 48 224
coordinates: 64 224
coordinates: 80 224
coordinates: 96 224
coordinates: 112 224
coordinates: 128 224
coordinates: 144 224
coordinates: 160 224
coordinates: 176 224
coordinates: 192 224
coordinates: 208 224
coordinates: 224 224
coordinates: 0 240
coordinates: 16 240
coordinates: 32 240
coordinates: 48 240
coordinates: 64 240
coordinates: 80 240
coordinates: 96 240
coordinates: 112 240
coordinates: 128 240
coordinates: 144 240
coordinates: 160 240
coordinates: 176 240
coordinates: 192 240
coordinates: 208 240
coordinates: 224 240
coordinates: 0 256
coordinates: 16 256
coordinates: 32 256
coordinates: 48 256
coordinates: 64 256
coordinates: 80 256
coordinates: 96 256
coordinates: 112 256
coordinates: 128 256
coordinates: 144 256
coordinates: 160 256
coordinates: 176 256
coordinates: 192 256
coordinates: 208 256
coordinates: 224 256
coordinates: 0 272
coordinates: 0 0
coordinates: 16 0
coordinates: 32 0
coordinates: 48 0
coordinates: 64 0
coordinates: 80 0
coordinates: 96 0
coordinates: 112 0
coordinates: 128 0
coordinates: 144 0
coordinates: 160 0
coordinates: 176 0
coordinates: 192 0
coordinates: 208 0
coordinates: 224 0
coordinates: 0 16
coordinates: 16 16
coordinates: 32 16
coordinates: 48 16
coordinates: 64 16
coordinates: 80 16
coordinates: 96 16
coordinates: 112 16
coordinates: 128 16
coordinates: 144 16
coordinates: 160 16
coordinates: 176 16
coordinates: 192 16
coordinates: 208 16
coordinates: 224 16
coordinates: 0 32
coordinates: 16 32
coordinates: 32 32
coordinates: 48 32
coordinates: 64 32
coordinates: 80 32
coordinates: 96 32
coordinates: 112 32
coordinates: 128 32
coordinates: 144 32
coordinates: 160 32
coordinates: 176 32
coordinates: 192 32
coordinates: 208 32
coordinates: 224 32
coordinates: 0 48
coordinates: 16 48
coordinates: 32 48
coordinates: 48 48
coordinates: 64 48
coordinates: 80 48
coordinates: 96 48
coordinates: 112 48
coordinates: 128 48
coordinates: 144 48
coordinates: 160 48
coordinates: 176 48
coordinates: 192 48
coordinates: 208 48
coordinates: 224 48
coordinates: 0 64
coordinates: 16 64
coordinates: 32 64
coordinates: 48 64
coordinates: 64 64
coordinates: 80 64
coordinates: 96 64
coordinates: 112 64
coordinates: 128 64
coordinates: 144 64
coordinates: 160 64
coordinates: 176 64
coordinates: 192 64
coordinates: 208 64
coordinates: 224 64
coordinates: 0 80
coordinates: 16 80
coordinates: 32 80
coordinates: 48 80
coordinates: 64 80
coordinates: 80 80
coordinates: 96 80
coordinates: 112 80
coordinates: 128 80
coordinates: 144 80
coordinates: 160 80
coordinates: 176 80
coordinates: 192 80
coordinates: 208 80
coordinates: 224 80
coordinates: 0 96
coordinates: 16 96
coordinates: 32 96
coordinates: 48 96
coordinates: 64 96
coordinates: 80 96
coordinates: 96 96
coordinates: 112 96
coordinates: 128 96
coordinates: 144 96
coordinates: 160 96
coordinates: 176 96
coordinates: 192 96
coordinates: 208 96
coordinates: 224 96
coordinates: 0 112
coordinates: 16 112
coordinates: 32 112
coordinates: 48 112
coordinates: 64 112
coordinates: 80 112
coordinates: 96 112
coordinates: 112 112
coordinates: 128 112
coordinates: 144 112
coordinates: 160 112
coordinates: 176 112
coordinates: 192 112
coordinates: 208 112
coordinates: 224 112
coordinates: 0 128
coordinates: 16 128
coordinates: 32 128
coordinates: 48 128
coordinates: 64 128
coordinates: 80 128
coordinates: 96 128
coordinates: 112 128
coordinates: 128 128
coordinates: 144 128
coordinates: 160 128
coordinates: 176 128
coordinates: 192 128
coordinates: 208 128
coordinates: 224 128
coordinates: 0 144
coordinates: 16 144
coordinates: 32 144
coordinates: 48 144
coordinates: 64 144
coordinates: 80 144
coordinates: 96 144
coordinates: 112 144
coordinates: 128 144
coordinates: 144 144
coordinates: 160 144
coordinates: 176 144
coordinates: 192 144
coordinates: 208 144
coordinates: 224 144
coordinates: 0 160
coordinates: 16 160
coordinates: 32 160
coordinates: 48 160
coordinates: 64 160
coordinates: 80 160
coordinates: 96 160
coordinates: 112 160
coordinates: 128 160
coordinates: 144 160
coordinates: 160 160
coordinates: 176 160
coordinates: 192 160
coordinates: 208 160
coordinates: 224 160
coordinates: 0 176
coordinates: 16 176
coordinates: 32 176
coordinates: 48 176
coordinates: 64 176
coordinates: 80 176
coordinates: 96 176
coordinates: 112 176
coordinates: 128 176
coordinates: 144 176
coordinates: 160 176
coordinates: 176 176
coordinates: 192 176
coordinates: 208 176
coordinates: 224 176
coordinates: 0 192
coordinates: 16 192
coordinates: 32 192
coordinates: 48 192
coordinates: 64 192
coordinates: 80 192
coordinates: 96 192
coordinates: 112 192
coordinates: 128 192
coordinates: 144 192
coordinates: 160 192
coordinates: 176 192
coordinates: 192 192
coordinates: 208 192
coordinates: 224 192
coordinates: 0 208
coordinates: 16 208
coordinates: 32 208
coordinates: 48 208
coordinates: 64 208
coordinates: 80 208
coordinates: 96 208
coordinates: 112 208
coordinates: 128 208
coordinates: 144 208
coordinates: 160 208
coordinates: 176 208
coordinates: 192 208
coordinates: 208 208
coordinates: 224 208
coordinates: 0 224
coordinates: 16 224
coordinates: 32 224
coordinates: 48 224
coordinates: 64 224
coordinates: 80 224
coordinates: 96 224
coordinates: 112 224
coordinates: 128 224
coordinates: 144 224
coordinates: 160 224
coordinates: 176 224
coordinates: 192 224
coordinates: 208 224
coordinates: 224 224
coordinates: 0 240
coordinates: 16 240
coordinates: 32 240
coordinates: 48 240
coordinates: 64 240
coordinates: 80 240
coordinates: 96 240
coordinates: 112 240
coordinates: 128 240
coordinates: 144 240
coordinates: 160 240
coordinates: 176 240
coordinates: 192 240
coordinates: 208 240
coordinates: 224 240
coordinates: 0 256
coordinates: 16 256
coordinates: 32 256
coordinates: 48 256
coordinates: 64 256
coordinates: 80 256
coordinates: 96 256
coordinates: 112 256
coordinates: 128 256
coordinates: 144 256
coordinates: 160 256
coordinates: 176 256
coordinates: 192 256
coordinates: 208 256
coordinates: 224 256
coordinates: 0 272
coordinates: 0 0
coordinates: 16 0
coordinates: 32 0
coordinates: 48 0
coordinates: 64 0
coordinates: 80 0
coordinates: 96 0
coordinates: 112 0
coordinates: 128 0
coordinates: 144 0
coordinates: 160 0
coordinates: 176 0
coordinates: 192 0
coordinates: 208 0
coordinates: 224 0
coordinates: 0 16
coordinates: 16 16
